NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 251 GTMIN    71.60 10 2025 10 2025  
 251 IPTER     2.08 11 2025 11 2025  
 251 GTMIN    71.56 11 2025 11 2025  
 251 IPTER     2.02 12 2025 12 2025  
 251 GTMIN    71.60 12 2025 12 2025  
 230 POTEF     5.00  6 2022          PREDILECTA
 230 FCMAX     0.00  6 2022  7 2022  
 230 FCMAX   100.00  8 2022          
 230 GTMIN     1.00  8 2022          
 252 POTEF   112.90 11 2022 12 2025  R. JANEIRO I
 252 FCMAX   100.00 11 2022 12 2025  
 252 GTMIN   106.88 11 2022 12 2025  
   9 POTEF    25.00  6 2022          R.SILVEIRA
   9 FCMAX     0.00  6 2022          
  62 POTEF   360.00  6 2022          SEROPEDICA
  62 TEIFT     0.00  6 2022  7 2022  
   4 POTEF   436.00  6 2022          ST.CRUZ 34
   4 FCMAX     0.00  6 2022          
  86 POTEF   500.00  6 2022          ST.CRUZ NOVA
  86 FCMAX    70.00  6 2022 11 2022  
  86 TEIFT     0.00  6 2022  9 2022  
  86 FCMAX   100.00 12 2022          
 146 POTEF    41.40  6 2022          STA VITORIA
 146 FCMAX   100.00  6 2022  7 2022  
 146 TEIFT     0.00  6 2022  7 2022  
 146 FCMAX    93.00  8 2022          
 146 IPTER   100.00  1 2023  2 2023  
 146 IPTER     3.23  3 2023  3 2023  
 146 IPTER     0.00  4 2023 12 2023  
 146 IPTER   100.00  1 2024  2 2024  
 146 IPTER     0.00  3 2024 12 2024  
 146 IPTER   100.00  1 2025  2 2025  
 146 IPTER     3.23  3 2025  3 2025  
 146 IPTER     0.00  4 2025 12 2025  
 146 IPTER   100.00  1 2026  2 2026  
 146 IPTER     3.23  3 2026  3 2026  
 146 IPTER     0.00  4 2026          
 393 POTEF    64.00  6 2022          T. NORTE I
 393 FCMAX     0.00  6 2022          
 194 POTEF   349.00  6 2022          T.NORTE 2
 194 FCMAX     0.00  6 2022          
  90 POTEF   928.70  6 2022          TERMOMACAE
  90 FCMAX    85.58  6 2022  6 2022  
  90 TEIFT     0.00  6 2022  7 2022  
  90 FCMAX    96.82  7 2022  7 2022  
  90 FCMAX    99.99  8 2022          
  47 POTEF   989.20  6 2022  6 2026  TERMORIO
  47 FCMAX    80.36  6 2022  6 2022  
  47 TEIFT     0.00  6 2022  7 2022  
  47 GTMIN   100.50  6 2022 10 2024  
  47 FCMAX    79.86  7 2022  7 2022  
  47 FCMAX   100.00  8 2022  6 2026  
  47 IPTER     5.56  1 2026  6 2026  
  47 POTEF  1058.30  7 2026          TERMORIO
  47 FCMAX    93.47  7 2026          
  47 IPTER     5.20  7 2026          
  47 TEIFT     6.00  7 2026          
  68 POTEF   350.00  6 2022          TRES LAGOAS
  68 FCMAX    75.14  6 2022  7 2022  
  68 TEIFT     0.00  6 2022  7 2022  
  68 FCMAX   100.00  8 2022          
  49 POTEF   174.60  6 2022          VIANA
  49 FCMAX   100.00  6 2022          
  49 TEIFT     0.00  6 2022  7 2022  
 253 POTEF    37.48  8 2022 12 2025  VIANA 1
