dates;SE;S;NE;N
1949-08-01;17559.9;5294.89;5468.13;3369.34
1949-09-01;14539.38;7687.84;4688.17;2270.3
1949-10-01;18250.77;6348.04;4355.33;1870.92
1949-11-01;25377.88;2989.23;8725.4;3768.71
1949-12-01;41943.84;2215.18;9692.62;6380.41
1950-01-01;53960.61;5626.43;13674.45;9335.24
1950-02-01;78671.76;5350.8;13457.17;16861.48
1950-03-01;72249.84;8382.41;10753.49;21171.83
1950-04-01;53885.69;3934.32;11691.17;25832.86
1950-05-01;38266.02;5108.03;8224.61;22770.53
1950-06-01;28076.02;4510.01;5240.53;14061
1950-07-01;22262.79;4181.26;4526.18;5208.16
1950-08-01;16427.73;8413.04;3939.26;2810.75
1950-09-01;13793.46;6227.54;3250.13;1920.49
1950-10-01;20582.82;19270.31;3719.82;2073.98
1950-11-01;35266.33;7206.01;6119.19;3210.16
1950-12-01;51925.68;5463.35;12153.09;6587.02
1951-01-01;65934.99;6518;12813.38;12516.17
1951-02-01;80175.17;12286.07;12086.33;15696.93
1951-03-01;82217.72;11392.94;13950.23;18399.96
1951-04-01;60415.77;3797.72;14424.5;15489.38
1951-05-01;39154.41;2127.22;8105.26;13633.85
1951-06-01;30415.93;2112.45;5586.15;7927.76
1951-07-01;23944.26;2786.23;4459.53;5032.15
1951-08-01;19098.42;1368.41;3804.74;2802.17
1951-09-01;16010.02;1547.2;3291.16;1954.86
1951-10-01;18304.12;14986.65;3016.4;1629.87
1951-11-01;21169.71;11008.49;2844.29;2077.8
1951-12-01;32769.88;6387.55;4475.88;5098.41
1952-01-01;43638.59;3611.99;9677.38;9725.17
1952-02-01;62797.37;3376.5;13394.97;13693.56
1952-03-01;91653.7;2215.08;17539.69;18857.95
1952-04-01;54670.15;1895.1;20610.21;26104.43
1952-05-01;35454.29;1042.03;10653.77;21932.01
1952-06-01;29970.25;7470.64;5947.7;10766.1
1952-07-01;22089.8;8769.71;4819.88;4840.25
1952-08-01;17297.83;3450.94;3965.79;2847.36
1952-09-01;16352.84;10205.81;3523.38;2089.57
1952-10-01;18813.49;16115.7;3466.72;2024.75
1952-11-01;28403.45;9913.4;4823.39;2425.9
1952-12-01;35936.22;4234.58;11070.66;5989.02
1953-01-01;34574.67;5132.05;11723.8;12203.83
1953-02-01;37917.32;6779.01;5430.77;17420.29
1953-03-01;46238.37;3994.99;7849.12;18135.55
1953-04-01;47427.38;3806.12;11237.92;23521.13
1953-05-01;30768.15;3227.16;6177.35;19704.88
1953-06-01;23961.92;5404.98;3975.43;12776.57
1953-07-01;17979.88;4312.89;3352.76;4123.67
1953-08-01;14299.43;3485.71;2929.34;2445.57
1953-09-01;14575.39;13162.97;2592.2;1672.09
1953-10-01;20910.49;17481.75;3187.35;2924.3
1953-11-01;26383.62;14765.88;4505.32;4499.98
1953-12-01;41257.3;6234.36;9551.1;8642.19
1954-01-01;39541.05;9723.58;13945.6;12909.05
1954-02-01;57657.45;6511.56;8201.45;17718.46
1954-03-01;45613.76;7957.1;9155.9;23582.71
1954-04-01;39199.68;6611.31;7814.82;22635.5
1954-05-01;41268.76;18090.24;4435.11;19158.52
1954-06-01;30249.12;20389.95;3726.21;9628.28
1954-07-01;19916.72;20862.06;2958.19;4807.15
1954-08-01;14221.6;6558.81;2642.76;2780.27
1954-09-01;11717.33;21150.97;2180.4;1606.46
1954-10-01;13114.47;25146.24;1958.42;1187.43
1954-11-01;19470.91;6667.41;2938.19;2209.73
1954-12-01;29460;4375.05;10445.79;7103.75
1955-01-01;45238.98;3524.28;7945.17;11631.73
1955-02-01;38487.54;4635.43;12193.42;20999.81
1955-03-01;43080.85;4532.31;6836.45;20237.84
1955-04-01;41998.06;9904.15;7829.19;23307.01
1955-05-01;27140.2;14216.43;4724.05;20740.53
1955-06-01;24968.73;19779;3198.62;15808.32
1955-07-01;19452.32;24715.09;2745.61;4487.95
1955-08-01;14076.96;10859.28;2394.62;2564.95
1955-09-01;12990.16;10067.53;2057.71;1726.98
1955-10-01;13670.26;6281.83;1933.53;1803.05
1955-11-01;21494.09;3661.99;5976.66;3996.4
1955-12-01;42300.33;3793.28;10068.99;7044.02
1956-01-01;47361.66;7978.5;15734.1;13889.26
1956-02-01;38581.17;8284.52;7700.57;19350.09
1956-03-01;50743.57;3320.96;13105.43;23903.93
1956-04-01;38384.82;11652.51;8718.55;25085.79
1956-05-01;38826.52;12325.41;5155.13;21188.42
1956-06-01;38417.65;7327.52;4923.41;10230.93
1956-07-01;25137.82;6084.08;4126.98;6283.57
1956-08-01;26323.19;10364.5;3218.61;3979.21
1956-09-01;18711.15;11799.15;2733.39;2976.31
1956-10-01;17404.24;7027.62;2486.01;2772.37
1956-11-01;28403.33;3087.84;4329.22;6583.76
1956-12-01;53024.3;2429.19;11633.51;14259.96
1957-01-01;68384.13;4457.42;18022.94;32328.61
1957-02-01;74749.91;8078.61;21129.49;31926.19
1957-03-01;76731.3;4555.92;23049.6;39001.76
1957-04-01;69671.79;4589.24;24619.43;44494.52
1957-05-01;43996.92;4374.3;18835.01;29160.7
1957-06-01;32277.45;6527.42;8844.79;18495.6
1957-07-01;32629.28;19240.19;6306.3;7287.79
1957-08-01;28202.97;35765.3;5056.7;4658.41
1957-09-01;34068.71;34403.4;4190.47;3478.68
1957-10-01;25329.35;13895.66;4554.93;3200.27
1957-11-01;32689.63;10254.47;4201.94;3135.67
1957-12-01;50192.72;6202.81;12320.55;7977.78
1958-01-01;51178.13;4548.89;11807.76;12265.27
1958-02-01;70413.06;3339.92;15350.28;21380.23
1958-03-01;61726.93;8879.83;11133.55;26717.34
1958-04-01;53467.97;3804;9569.54;31754.76
1958-05-01;42385.63;2570.95;7532.53;24667.39
1958-06-01;35718.4;7780.82;5146.56;12696.65
1958-07-01;26705.93;4000.05;4321.07;5131.4
1958-08-01;19668.53;9667.11;4319.22;3311.67
1958-09-01;22409.48;16461.15;3358.31;2370.53
1958-10-01;23833.5;12494.84;4426.9;2362.12
1958-11-01;29217.61;11649.09;5835.26;3280.58
